Exam_Score,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Internet_Access,Tutoring_Sessions,School_Type,Physical_Activity,Distance_from_Home,Motivation_Level
64,92,Medium,Medium,9,Yes,2,Private,4,Moderate,Medium
65,92,Low,High,6,Yes,1,Private,3,Near,Low
68,83,Medium,High,7,Yes,0,Public,2,Moderate,Medium
72,91,Medium,High,7,Yes,2,Public,3,Near,Medium
64,68,Medium,Medium,9,Yes,0,Public,3,Moderate,Medium
62,62,High,Medium,4,Yes,1,Public,3,Near,Low
69,95,Medium,Low,7,No,3,Private,2,Near,Low
64,63,Low,Low,8,Yes,3,Public,4,Near,Medium
61,70,High,Medium,10,Yes,1,Public,2,Far,Medium
72,88,Medium,High,7,Yes,2,Public,2,Near,Low
66,76,Medium,Low,6,Yes,1,Private,3,Far,Low
69,95,High,Low,10,Yes,2,Public,3,Near,Low
65,72,Medium,Medium,8,No,2,Private,2,Near,High
64,60,High,Medium,9,Yes,2,Public,3,Near,Medium
62,72,Low,Medium,5,Yes,3,Private,4,Near,Medium
66,83,Medium,Medium,8,Yes,1,Public,4,Far,High
62,75,Low,Low,5,Yes,0,Public,1,Moderate,Medium
66,81,Medium,Medium,5,Yes,3,Public,4,Moderate,High
70,95,Medium,High,8,Yes,2,Public,3,Moderate,Medium
75,96,Medium,Medium,8,Yes,3,Public,3,Near,Low
67,71,Low,High,6,Yes,3,Public,2,Far,Medium
66,78,Low,Medium,9,Yes,4,Public,2,Near,Low
71,82,Medium,High,6,Yes,2,Private,3,Moderate,Medium
75,98,High,Medium,7,Yes,2,Private,2,Near,Medium
72,100,High,High,7,Yes,1,Public,2,Far,Low
64,69,High,Medium,7,Yes,2,Private,2,Moderate,Low
65,89,Medium,Medium,9,No,1,Public,3,Far,Medium
67,75,Low,Medium,5,Yes,1,Public,3,Near,High
63,60,Medium,Medium,6,Yes,2,Public,2,Near,Low
62,60,Medium,Low,5,Yes,1,Public,2,Near,Low
69,78,Low,High,10,Yes,2,Public,4,Moderate,High
70,80,Medium,Medium,7,Yes,1,Private,2,Moderate,Medium
63,61,Low,Medium,6,Yes,0,Public,4,Near,High
71,87,Medium,Medium,7,Yes,2,Public,2,Near,Medium
63,72,Medium,Low,8,Yes,0,Public,4,Near,Medium
71,82,Low,Medium,8,Yes,0,Public,2,Moderate,Low
63,72,Medium,Medium,6,Yes,0,Private,4,Near,Low
68,67,Medium,High,6,Yes,0,Public,4,Moderate,High
65,76,Medium,Low,5,No,0,Public,3,Near,High
66,69,High,High,7,Yes,0,Private,3,Near,Medium
66,81,Low,Medium,9,Yes,3,Public,4,Far,Medium
66,68,High,High,6,Yes,0,Public,3,Near,Low
65,80,Low,Low,8,Yes,0,Private,2,Near,Medium
66,66,Medium,High,6,Yes,0,Public,2,Near,Medium
67,87,Medium,Medium,5,Yes,4,Private,3,Near,Medium
68,90,High,Medium,8,Yes,0,Private,3,Moderate,Medium
68,64,Medium,Low,10,Yes,2,Private,3,Near,Low
69,79,Low,Medium,8,Yes,3,Private,3,Moderate,Medium
64,63,Medium,Low,6,Yes,1,Public,2,Near,Low
67,84,Medium,Medium,6,Yes,0,Private,3,Moderate,Medium
63,71,Medium,Medium,10,Yes,1,Public,4,Moderate,Low
64,81,Medium,High,6,No,2,Public,2,Far,Low
66,97,Low,Medium,7,Yes,0,Public,2,Near,Low
65,82,High,Medium,7,Yes,2,Private,4,Near,Low
68,83,Medium,Medium,8,No,4,Public,2,Moderate,Low
66,76,Low,High,9,Yes,0,Private,5,Near,Low
71,98,High,High,9,Yes,0,Public,3,Near,Low
74,91,Medium,High,7,No,2,Private,4,Near,Medium
65,71,Medium,High,7,Yes,2,Public,3,Near,Low
68,94,Low,High,8,Yes,0,Public,4,Near,High
68,77,Medium,High,6,No,2,Private,2,Near,Low
72,93,Medium,Medium,8,Yes,1,Public,4,Near,Medium
74,93,High,High,7,Yes,3,Private,2,Moderate,Medium
61,68,Low,High,8,Yes,0,Public,2,Near,Medium
65,88,Low,Low,10,Yes,0,Private,3,Far,Low
63,72,High,Low,8,Yes,0,Public,5,Near,Low
66,72,High,Medium,7,Yes,1,Public,2,Moderate,Medium
66,72,Low,High,6,Yes,2,Public,3,Near,Medium
73,89,High,Medium,7,Yes,2,Private,4,Near,Medium
63,69,Medium,Medium,5,Yes,0,Public,4,Near,Medium
73,89,High,Low,4,Yes,3,Public,2,Moderate,High
63,67,Low,High,8,Yes,0,Private,3,Moderate,Medium
65,64,Medium,High,8,Yes,2,Public,4,Near,Medium
66,70,Low,High,7,Yes,0,Public,4,Near,High
65,75,Low,Low,6,Yes,0,Public,3,Near,Medium
66,79,Low,High,7,Yes,0,Public,2,Near,Medium
65,62,High,Medium,4,Yes,3,Public,3,Near,High
70,99,Medium,Medium,8,Yes,2,Private,2,Far,Medium
70,89,Medium,Medium,7,Yes,1,Public,3,Near,Medium
68,73,High,Medium,9,Yes,0,Private,3,Moderate,Medium
64,73,Medium,High,8,No,1,Public,3,Moderate,Medium
68,78,Medium,Medium,7,Yes,1,Public,3,Moderate,Medium
62,85,Low,High,8,Yes,2,Private,3,Near,Low
68,66,Medium,Medium,6,Yes,1,Public,3,Moderate,Medium
61,68,Low,Medium,6,Yes,1,Public,3,Moderate,Low
69,94,High,Medium,7,No,1,Public,3,Near,Low
65,70,Medium,Medium,7,Yes,3,Public,3,Near,Medium
65,75,Medium,High,6,Yes,2,Public,2,Far,Medium
72,95,Medium,High,7,Yes,3,Public,2,Moderate,Low
70,87,Medium,Medium,7,Yes,3,Public,3,Near,High
65,74,Medium,High,10,No,1,Private,4,Near,Medium
69,87,Medium,Medium,7,Yes,3,Public,3,Near,Medium
65,61,High,Low,6,Yes,1,Public,3,Near,Medium
69,89,Low,Medium,7,Yes,3,Private,2,Near,Low
65,79,Low,Medium,9,Yes,2,Public,3,Near,Medium
72,93,Medium,High,9,Yes,0,Public,3,Moderate,Medium
70,98,High,Low,10,Yes,0,Private,3,Moderate,Medium
64,97,Medium,Medium,7,Yes,0,Private,2,Moderate,Low
67,96,Medium,Low,8,Yes,0,Public,3,Near,Low
69,80,Medium,Low,5,Yes,0,Public,2,Moderate,High
70,74,Low,Medium,6,Yes,4,Private,3,Near,Low
65,79,Medium,Medium,5,Yes,1,Public,3,Near,Low
69,88,High,High,8,Yes,1,Public,3,Far,Low
74,95,High,Medium,7,Yes,5,Public,2,Near,High
66,68,Low,Medium,7,Yes,1,Private,1,Near,Medium
72,97,Medium,Medium,6,Yes,1,Private,4,Near,High
75,99,Low,High,4,Yes,2,Public,4,Moderate,High
70,95,Medium,Low,7,Yes,3,Public,2,Far,Medium
63,71,Low,Low,7,Yes,1,Public,4,Moderate,Medium
65,64,Medium,Medium,4,Yes,2,Private,4,Moderate,High
64,64,Medium,High,8,Yes,3,Public,3,Moderate,Medium
65,72,Medium,High,7,Yes,2,Public,2,Moderate,Low
70,85,Medium,Medium,8,Yes,2,Public,4,Near,Medium
67,92,Medium,Low,10,Yes,0,Public,2,Far,Medium
67,96,Medium,Medium,7,No,0,Public,2,Near,Low
68,85,Medium,High,8,Yes,1,Public,3,Far,Medium
65,60,Medium,Medium,9,Yes,4,Public,4,Near,High
61,67,High,Medium,8,Yes,2,Public,1,Moderate,Low
63,64,Medium,Low,6,Yes,2,Public,3,Moderate,Low
80,75,Medium,Low,5,Yes,2,Public,2,Far,Low
69,80,Medium,Medium,8,Yes,2,Public,1,Moderate,Medium
55,62,Medium,Low,6,Yes,1,Public,3,Near,Medium
70,74,Medium,Medium,9,Yes,2,Private,4,Near,Medium
65,67,Medium,Medium,6,Yes,1,Public,3,Near,High
68,86,Low,Medium,7,Yes,1,Public,3,Near,Low
64,79,Medium,Low,5,Yes,3,Public,5,Near,Medium
69,80,Medium,Medium,6,Yes,1,Public,3,Near,Medium
89,77,Low,High,6,Yes,1,Public,4,Near,Medium
67,98,Medium,Low,6,Yes,1,Private,3,Far,Medium
92,69,Medium,Medium,7,No,2,Public,5,Far,Medium
67,81,High,High,6,No,1,Private,3,Near,Low
70,89,Low,Medium,10,Yes,3,Public,3,Near,Low
68,82,High,Low,8,Yes,1,Public,3,Near,Medium
70,97,Medium,Low,9,Yes,0,Private,2,Near,Medium
67,75,Medium,Medium,7,Yes,3,Public,4,Near,Low
69,79,Medium,Medium,7,Yes,0,Public,3,Near,High
67,64,Medium,Medium,6,Yes,0,Private,4,Near,High
69,84,High,High,10,Yes,0,Private,4,Near,Medium
63,72,Medium,High,7,No,0,Public,1,Near,Low
69,66,Medium,Medium,6,Yes,3,Public,3,Near,Medium
66,82,Medium,High,6,Yes,1,Public,3,Moderate,Low
68,81,Medium,Medium,8,Yes,0,Public,3,Moderate,Medium
69,63,Medium,Medium,9,Yes,4,Private,4,Near,Medium
66,88,High,Low,9,Yes,4,Private,3,Near,Low
72,85,Medium,Medium,6,Yes,1,Private,4,Near,Low
62,68,Low,Medium,6,Yes,1,Private,3,Near,Medium
67,79,Medium,Medium,9,Yes,1,Private,2,Near,Medium
67,89,High,Low,10,Yes,0,Private,2,Near,Low
67,81,High,High,7,No,1,Private,3,Near,Low
65,76,Medium,Low,9,Yes,2,Public,3,Near,Low
67,73,High,Low,5,Yes,1,Public,3,Moderate,Medium
66,84,Low,Low,6,No,3,Public,1,Near,Medium
70,98,Low,Low,5,Yes,0,Public,2,Near,High
71,87,Low,High,8,Yes,2,Public,5,Near,Medium
64,63,Low,High,7,Yes,2,Private,3,Near,Medium
69,78,Low,High,7,Yes,4,Private,4,Moderate,Low
72,96,Medium,High,9,No,0,Public,2,Moderate,Low
60,64,Medium,Low,6,Yes,0,Public,4,Near,Medium
71,100,Medium,Low,7,Yes,1,Private,3,Moderate,Low
71,98,Medium,Medium,5,Yes,0,Public,3,Moderate,High
66,63,High,High,9,Yes,2,Private,2,Near,Medium
74,97,Medium,Medium,9,Yes,3,Public,3,Near,Low
64,75,Medium,Medium,8,Yes,0,Public,4,Moderate,High
68,94,Medium,Low,7,Yes,2,Private,2,Near,Low
66,77,High,Low,6,Yes,4,Public,2,Near,Low
65,78,Medium,Medium,5,Yes,1,Public,3,Near,Low
64,85,Low,High,7,No,0,Public,5,Moderate,Medium
65,91,Medium,Low,8,Yes,1,Private,3,Far,Medium
69,61,High,High,10,Yes,4,Public,2,Moderate,Low
62,67,Medium,High,7,Yes,1,Public,3,Far,Low
63,74,Low,High,9,Yes,3,Public,2,Moderate,High
65,74,High,Low,9,Yes,0,Public,4,Moderate,High
62,79,Low,High,6,Yes,1,Private,4,Far,Medium
67,73,Low,Medium,7,Yes,0,Public,2,Near,Medium
64,64,Low,High,6,Yes,1,Private,5,Moderate,Low
61,66,Medium,Low,6,Yes,2,Public,3,Moderate,Low
65,61,Low,Medium,9,Yes,1,Public,2,Far,Medium
67,79,High,Low,7,Yes,1,Public,5,Moderate,Medium
70,98,High,Low,7,Yes,0,Public,4,Moderate,Medium
59,65,Medium,High,7,Yes,1,Private,3,Far,Low
75,98,Medium,High,7,Yes,1,Private,4,Near,Medium
67,89,Low,Medium,7,Yes,4,Public,2,Near,Medium
64,85,Medium,Medium,6,Yes,1,Public,3,Near,Low
72,86,Medium,High,9,Yes,3,Public,3,Near,Medium
76,93,Medium,Medium,6,Yes,5,Public,2,Near,Medium
69,64,Medium,High,6,Yes,2,Private,2,Near,Low
65,80,Low,Medium,7,Yes,0,Public,5,Near,Low
72,88,High,Medium,10,Yes,2,Public,1,Far,Low
69,83,Medium,High,6,Yes,0,Public,4,Near,Low
71,93,High,Medium,8,Yes,0,Private,4,Moderate,Medium
64,63,High,Medium,7,Yes,0,Private,2,Far,High
74,88,High,High,7,Yes,2,Public,3,Near,High
68,81,Medium,High,8,Yes,0,Public,3,Near,Medium
66,75,Medium,High,4,Yes,1,Private,4,Moderate,High
65,74,Medium,Medium,6,Yes,0,Public,2,Moderate,High
67,85,High,Medium,8,Yes,2,Public,3,Near,Low
69,96,Medium,Medium,7,Yes,0,Public,3,Near,High
66,80,High,Low,7,Yes,2,Private,2,Near,High
69,93,Medium,High,8,Yes,1,Private,2,Near,Medium
67,76,Medium,Medium,6,Yes,2,Private,3,Near,Medium
64,64,Medium,Medium,9,Yes,1,Public,2,Near,Medium
67,62,High,High,8,Yes,2,Public,2,Moderate,Medium
61,62,Low,High,7,No,3,Public,3,Far,High
61,75,Medium,Low,8,Yes,0,Public,2,Moderate,Low
68,73,Medium,Medium,9,Yes,4,Public,2,Far,High
66,89,Low,High,6,Yes,2,Public,5,Moderate,Low
66,90,Medium,Medium,8,Yes,0,Public,4,Moderate,Low
68,62,Medium,High,10,Yes,2,Public,4,Near,High
63,69,Low,High,8,Yes,1,Private,2,Near,High
66,71,Medium,Medium,7,Yes,3,Private,3,Moderate,Medium
66,82,High,Medium,10,Yes,0,Public,4,Far,High
66,66,High,Medium,7,Yes,0,Private,3,Near,High
65,65,Medium,Medium,9,Yes,2,Public,4,Near,High
69,98,Medium,Medium,6,Yes,2,Public,2,Moderate,Medium
71,92,Medium,High,9,Yes,1,Private,2,Near,High
66,67,High,High,6,Yes,1,Public,2,Near,High
66,76,Medium,Medium,7,Yes,1,Public,3,Moderate,High
65,74,Medium,High,6,No,0,Private,4,Near,Low
71,92,Low,Medium,10,Yes,4,Public,4,Moderate,Medium
69,80,Medium,High,7,Yes,3,Private,2,Far,High
61,65,Low,Low,5,Yes,2,Public,3,Near,Medium
70,90,High,Medium,7,Yes,1,Public,4,Near,High
70,76,Medium,Medium,8,Yes,2,Public,4,Near,High
65,71,Medium,Medium,7,Yes,0,Public,4,Near,High
64,75,Medium,Low,6,Yes,2,Public,1,Moderate,Medium
68,80,High,High,9,Yes,0,Public,4,Near,Low
63,74,Low,Medium,9,Yes,1,Private,2,Near,Low
63,70,Medium,High,5,Yes,2,Private,3,Near,Medium
71,76,Medium,Medium,6,Yes,3,Public,3,Near,Low
58,61,High,Low,7,No,1,Public,2,Near,Low
68,91,Medium,Medium,6,Yes,1,Public,2,Moderate,Medium
65,67,Medium,High,8,Yes,1,Public,4,Near,High
65,62,Medium,Medium,10,Yes,2,Public,3,Near,Low
68,86,High,Low,6,Yes,2,Public,2,Near,Low
69,91,Low,High,9,Yes,0,Public,1,Far,Medium
71,93,Medium,Medium,5,Yes,5,Public,1,Near,Low
65,80,Low,Medium,8,Yes,2,Private,2,Moderate,Low
64,68,Low,Medium,6,Yes,0,Public,5,Near,Low
75,89,Low,Medium,8,Yes,2,Private,4,Moderate,Medium
67,88,High,Medium,4,Yes,1,Public,4,Near,Low
68,70,Medium,High,5,Yes,1,Public,3,Far,High
72,96,High,High,8,Yes,1,Public,1,Moderate,Low
67,64,Medium,Medium,6,Yes,3,Public,4,Moderate,High
72,99,High,Medium,7,Yes,1,Public,3,Near,Medium
69,94,Medium,Low,10,Yes,1,Public,3,Moderate,High
68,88,Low,Low,7,Yes,0,Public,3,Moderate,Low
70,98,Medium,Medium,8,Yes,0,Private,6,Near,Medium
69,89,Medium,Medium,6,Yes,1,Public,3,Near,High
67,68,Medium,Low,5,Yes,2,Public,1,Moderate,Medium
63,78,Medium,Medium,7,No,0,Public,3,Near,Medium
61,63,Medium,High,5,Yes,4,Private,2,Moderate,Low
66,76,Medium,High,6,Yes,1,Public,3,Near,Medium
73,90,High,Medium,7,No,0,Private,4,Near,Low
67,75,Medium,High,7,Yes,0,Public,3,Moderate,High
72,73,High,Medium,8,Yes,2,Public,2,Near,Medium
69,84,High,Medium,8,Yes,1,Public,4,Far,Low
69,95,Low,High,5,Yes,2,Public,4,Moderate,Medium
63,62,Low,High,6,Yes,1,Public,3,Moderate,Medium
67,75,Medium,Medium,4,Yes,0,Public,4,Moderate,Low
63,66,Medium,Medium,6,Yes,0,Public,2,Moderate,Medium
66,88,Medium,High,8,No,1,Private,4,Near,Low
62,64,Medium,Medium,9,Yes,2,Public,4,Moderate,Medium
68,87,Medium,Medium,7,Yes,2,Private,4,Near,Medium
65,71,Medium,High,9,Yes,1,Public,4,Near,Medium
59,68,Low,Low,8,Yes,0,Public,4,Near,Medium
72,97,High,Medium,7,Yes,1,Public,1,Moderate,High
63,61,Medium,High,6,Yes,0,Private,2,Near,Medium
68,78,Medium,Medium,4,Yes,1,Public,4,Near,Medium
61,61,Medium,Medium,9,Yes,0,Public,2,Moderate,High
65,79,Low,Medium,7,Yes,1,Private,3,Near,Low
68,80,Medium,Medium,9,Yes,2,Public,3,Moderate,Low
61,73,Low,Medium,6,Yes,1,Public,4,Moderate,High
63,65,Low,Low,10,Yes,1,Private,3,Near,Medium
67,75,Medium,Medium,7,Yes,1,Public,2,Near,High
66,87,Low,Medium,6,Yes,0,Public,3,Moderate,Low
75,91,Medium,Medium,7,Yes,3,Private,2,Near,High
68,81,Medium,Medium,7,Yes,0,Public,4,Near,Low
65,84,Low,Medium,7,Yes,2,Public,3,Near,High
64,68,Low,Medium,6,Yes,0,Public,4,Near,High
67,71,High,Medium,4,No,2,Public,3,Near,Medium
64,66,Low,Medium,6,Yes,2,Private,3,Near,Medium
67,70,Medium,High,9,Yes,0,Public,2,Moderate,Medium
63,69,Medium,High,6,No,2,Private,0,Near,Low
67,81,High,Medium,4,Yes,0,Private,2,Moderate,Medium
65,83,High,Low,5,Yes,1,Private,2,Near,Medium
70,98,High,Low,7,Yes,1,Public,2,Near,High
62,68,Medium,Medium,6,Yes,2,Public,3,Moderate,High
69,86,High,Medium,7,Yes,2,Public,3,Moderate,Medium
70,93,Medium,Low,6,Yes,2,Public,3,Moderate,Medium
68,82,Medium,Medium,9,Yes,1,Private,2,Moderate,Low
68,70,Medium,High,8,Yes,4,Public,4,Moderate,Medium
64,71,Medium,Medium,10,Yes,0,Public,3,Near,Medium
63,62,Low,High,6,No,4,Private,1,Moderate,High
68,72,Low,Low,7,Yes,2,Public,2,Moderate,Medium
67,90,High,Low,9,Yes,1,Public,2,Far,Low
68,62,High,Low,8,Yes,3,Private,4,Moderate,Low
66,69,Medium,High,6,Yes,1,Public,2,Moderate,Medium
67,88,Medium,Medium,8,No,2,Private,1,Near,Low
69,91,High,Medium,8,Yes,1,Public,4,Moderate,High
68,78,High,Medium,4,Yes,2,Private,3,Far,Medium
70,88,Medium,High,6,Yes,4,Public,3,Moderate,Medium
68,76,Medium,Medium,7,Yes,3,Private,4,Moderate,Medium
66,66,Low,Medium,9,Yes,2,Public,2,Near,Medium
67,76,Medium,High,8,Yes,2,Private,4,Moderate,Medium
65,83,Medium,Medium,6,Yes,1,Public,4,Moderate,Medium
67,98,Medium,Medium,6,Yes,0,Public,5,Moderate,Medium
63,63,Medium,Medium,8,Yes,2,Public,4,Near,High
64,80,Low,High,4,Yes,2,Public,2,Moderate,High
64,73,High,Medium,6,Yes,3,Public,3,Near,Medium
66,80,Low,Low,9,Yes,0,Private,3,Moderate,High
68,61,Medium,High,7,Yes,2,Private,4,Near,Low
67,73,High,Medium,6,Yes,0,Public,3,Moderate,High
72,93,Medium,High,5,Yes,1,Public,2,Near,Low
67,82,Medium,Medium,8,Yes,1,Public,4,Near,Low
66,78,Medium,Medium,7,Yes,2,Public,3,Moderate,High
66,71,High,Low,7,Yes,1,Public,3,Near,Medium
67,72,High,High,8,Yes,1,Public,4,Moderate,Medium
65,75,Medium,Medium,7,Yes,0,Private,3,Far,Low
70,93,High,Medium,7,Yes,2,Public,3,Far,Low
69,99,Low,Medium,5,Yes,0,Private,4,Near,Low
69,78,High,High,5,Yes,1,Private,3,Moderate,Low
66,76,High,Medium,8,Yes,1,Public,4,Near,Medium
66,94,Medium,Low,8,Yes,2,Public,4,Far,Medium
67,77,High,High,8,Yes,1,Public,3,Moderate,Medium
67,82,Medium,High,6,Yes,1,Public,3,Near,Medium
67,69,Medium,Medium,8,Yes,2,Public,4,Near,High
72,90,High,High,6,Yes,2,Public,3,Near,Medium
68,81,Medium,Low,9,Yes,1,Public,4,Moderate,Low
70,92,Medium,Low,6,Yes,3,Public,2,Near,High
69,91,Medium,Medium,6,Yes,1,Public,4,Moderate,Medium
65,69,High,Low,7,Yes,1,Public,4,Moderate,High
72,89,High,High,8,Yes,0,Public,3,Far,Medium
69,92,Medium,High,7,Yes,0,Public,4,Far,Medium
68,74,Medium,Medium,7,Yes,5,Public,4,Near,Low
62,67,High,High,6,Yes,1,Public,2,Moderate,High
60,60,Medium,Low,7,Yes,2,Public,3,Moderate,Low
67,78,High,Medium,7,Yes,3,Public,4,Moderate,Low
67,74,High,High,6,Yes,2,Public,4,Near,Low
67,82,Medium,High,7,Yes,1,Public,3,Near,Medium
63,68,Medium,Medium,7,Yes,0,Private,4,Near,Low
71,94,Medium,Low,10,Yes,1,Public,3,Near,High
66,70,Medium,Medium,6,Yes,0,Private,2,Near,High
65,69,Medium,Medium,6,Yes,0,Public,1,Near,High
69,79,High,Medium,7,Yes,2,Public,2,Moderate,High
63,80,High,Low,6,Yes,2,Public,1,Near,High
64,69,Medium,Medium,5,Yes,3,Public,2,Moderate,High
67,71,High,High,5,Yes,2,Private,0,Near,High
62,67,Medium,Medium,6,Yes,1,Public,2,Moderate,High
68,89,Medium,Low,6,Yes,2,Public,2,Far,Low
71,91,Medium,High,5,Yes,2,Public,3,Moderate,Low
66,78,High,Medium,7,No,1,Public,3,Moderate,Medium
69,89,Medium,High,4,Yes,1,Public,1,Near,Low
71,89,Medium,Low,8,Yes,1,Private,4,Moderate,Low
66,66,Medium,Medium,6,Yes,2,Private,4,Near,Medium
72,99,Medium,Medium,6,Yes,5,Public,3,Near,Medium
70,93,Medium,Medium,8,Yes,1,Public,4,Near,Medium
65,68,Low,Medium,8,Yes,1,Private,3,Near,High
64,67,High,Medium,6,Yes,0,Public,2,Near,Medium
63,65,Medium,Medium,8,Yes,1,Public,2,Moderate,Medium
63,66,Medium,Medium,9,No,3,Private,2,Near,Low
66,90,Low,Medium,5,No,3,Public,2,Moderate,Medium
68,79,High,High,8,Yes,1,Public,4,Moderate,Low
74,91,Medium,High,5,Yes,1,Public,4,Near,Low
71,90,High,High,9,Yes,0,Private,2,Near,Low
67,84,High,Medium,6,Yes,3,Public,3,Moderate,High
66,87,High,Low,6,Yes,2,Public,3,Near,Medium
67,61,High,Medium,9,Yes,0,Private,6,Near,Medium
62,72,Low,High,8,Yes,3,Public,1,Moderate,High
68,86,Medium,Low,6,Yes,1,Private,5,Near,Low
62,60,Medium,Medium,7,Yes,2,Public,3,Near,Medium
82,61,High,Medium,6,No,1,Private,2,Near,Low
70,94,High,Medium,5,Yes,2,Public,2,Near,High
72,87,High,Medium,7,Yes,4,Private,2,Near,Medium
64,71,Low,High,6,Yes,0,Public,4,Near,Low
66,88,Medium,High,6,Yes,1,Public,4,Near,Low
68,92,Medium,Medium,9,Yes,0,Private,3,Near,High
64,72,Low,Medium,6,Yes,1,Public,3,Far,Low
61,61,Low,Medium,7,Yes,0,Public,3,Near,High
69,97,Medium,Medium,9,Yes,0,Public,1,Moderate,Medium
68,74,High,High,7,Yes,2,Private,2,Near,Low
64,64,Medium,Medium,6,Yes,1,Public,5,Near,Medium
67,80,Medium,High,7,Yes,1,Private,4,Moderate,Medium
67,91,Medium,Medium,8,Yes,0,Public,3,Moderate,Medium
65,69,Medium,Medium,8,Yes,1,Public,2,Near,Medium
68,71,High,Medium,10,Yes,2,Public,3,Near,Medium
67,70,Medium,High,6,Yes,2,Public,3,Near,Medium
67,100,Low,Medium,7,Yes,1,Public,3,Moderate,Low
64,68,Medium,High,5,Yes,1,Public,4,Near,Medium
70,83,High,High,8,Yes,0,Public,3,Near,Medium
69,97,Medium,High,7,Yes,2,Private,3,Moderate,Medium
66,66,Medium,High,7,Yes,0,Private,2,Far,Low
69,99,Low,Medium,6,Yes,2,Public,3,Moderate,Medium
66,98,Low,Medium,6,Yes,1,Private,2,Near,Medium
73,95,High,Medium,7,Yes,1,Public,3,Moderate,Low
66,69,Medium,Medium,6,No,4,Private,4,Moderate,Medium
69,85,Medium,High,7,Yes,0,Public,2,Moderate,High
70,90,Medium,Low,7,Yes,1,Public,3,Moderate,Low
71,99,High,Medium,5,Yes,1,Private,5,Far,High
70,67,Low,High,5,Yes,2,Public,4,Near,Medium
69,91,High,Low,6,Yes,0,Private,4,Near,Medium
63,74,Medium,Medium,9,Yes,1,Private,3,Moderate,Medium
71,67,High,Medium,6,Yes,4,Public,3,Near,Medium
67,77,High,High,7,Yes,2,Public,2,Near,Low
73,92,Medium,Medium,5,Yes,3,Public,2,Near,High
68,79,Low,High,6,Yes,1,Public,2,Moderate,Medium
69,82,Low,Medium,5,Yes,0,Public,3,Near,Medium
76,100,High,High,8,Yes,2,Private,3,Moderate,Medium
68,76,Low,Medium,5,Yes,4,Public,3,Near,Medium
65,85,Medium,Medium,8,Yes,1,Private,3,Near,High
66,75,Medium,Medium,8,Yes,0,Public,1,Near,Low
65,76,Medium,Low,7,Yes,0,Public,2,Near,High
69,88,Low,Medium,8,Yes,3,Private,3,Moderate,Low
66,82,High,Low,8,Yes,1,Public,3,Moderate,Medium
69,91,Medium,High,5,Yes,3,Public,3,Near,Medium
59,64,Medium,Medium,9,No,2,Public,4,Near,Low
65,68,Medium,High,7,Yes,2,Public,3,Near,Medium
72,80,High,High,10,Yes,4,Public,2,Near,High
64,70,Medium,Medium,9,Yes,0,Private,4,Moderate,Low
69,81,Medium,Medium,7,Yes,1,Public,4,Near,Low
70,61,High,High,10,Yes,3,Private,3,Near,Medium
67,71,Medium,High,7,Yes,2,Public,3,Far,Low
67,81,Medium,Medium,10,Yes,0,Private,5,Near,Low
64,83,Medium,Low,8,Yes,0,Private,3,Far,Medium
68,97,Medium,Medium,8,Yes,4,Private,2,Far,Low
72,86,Medium,High,10,Yes,1,Private,4,Near,Low
65,77,Medium,High,6,Yes,1,Private,3,Near,Medium
70,97,Medium,High,8,Yes,2,Public,2,Moderate,Low
75,91,High,Medium,7,Yes,2,Private,5,Near,Low
65,68,Low,Low,7,No,3,Private,4,Near,Medium
63,65,Medium,High,7,Yes,1,Public,3,Moderate,Low
71,87,Medium,High,8,Yes,0,Private,3,Near,Low
66,82,Medium,Low,8,Yes,2,Public,2,Near,Medium
69,92,Medium,Low,6,Yes,1,Private,3,Moderate,Medium
68,90,High,Medium,7,No,0,Private,3,Moderate,Low
71,85,Medium,High,4,Yes,1,Public,2,Near,Medium
77,99,High,Medium,8,No,5,Public,2,Near,High
70,81,High,Low,10,Yes,1,Public,2,Near,High
66,65,Medium,Medium,7,Yes,1,Public,3,Near,Medium
73,93,High,Medium,5,Yes,1,Public,3,Moderate,Low
62,70,Medium,Medium,8,Yes,1,Private,3,Moderate,Medium
65,91,Medium,Medium,6,Yes,0,Public,2,Moderate,Low
71,98,High,High,7,Yes,0,Public,2,Near,Medium
66,88,Medium,Medium,8,Yes,1,Public,4,Near,High
72,84,Low,Medium,8,Yes,1,Public,3,Near,Medium
64,78,Medium,Medium,9,Yes,0,Private,4,Near,Medium
63,75,Medium,Medium,7,Yes,0,Private,4,Near,Low
63,74,Low,Medium,7,Yes,0,Public,3,Near,Low
72,85,High,Medium,8,Yes,5,Public,2,Near,High
71,90,Medium,Medium,7,Yes,2,Public,2,Moderate,Medium
72,87,High,High,6,No,3,Public,2,Moderate,Low
65,68,Medium,High,8,Yes,1,Private,2,Near,Medium
67,80,Medium,Medium,5,Yes,0,Public,3,Near,Medium
68,92,Low,High,7,Yes,1,Public,4,Moderate,Low
66,79,Medium,High,5,Yes,2,Private,2,Far,Medium
72,81,Medium,High,6,Yes,0,Public,3,Near,Medium
71,91,High,Medium,6,Yes,3,Public,3,Moderate,Medium
70,86,Medium,High,6,Yes,3,Public,3,Moderate,Low
68,76,Medium,Medium,9,Yes,1,Public,3,Near,Medium
72,96,Medium,High,9,Yes,0,Private,4,Near,Low
66,67,Low,Medium,9,Yes,1,Public,3,Near,High
